order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
2cb146ee8dcde5dc2e8dda5bcebe3f47,9eba5d654db88e3e5c4afbbe96787e08,delivered,2018-05-26 10:08:00,2018/5/29 3:15,2018/6/1 14:59,2018/6/4 19:23,2018/6/20 0:00
3ccadf098357a20c809d57a50c3d47ae,7a1ab9788d3a3325c375971012b979eb,delivered,2018-05-26 15:19:00,2018/5/29 3:31,2018/5/29 13:07,2018/6/1 20:40,2018/6/25 0:00
837bf2d48f18fc4d6e2e32cac9941960,c8d7c9a0047bba418f7a0ea9eda4976e,delivered,2018-05-26 12:46:00,2018/5/26 13:10,2018/5/28 15:12,2018/6/8 23:05,2018/7/13 0:00
04782e9b6da0d4326e534dae5dd3e09e,6cd650d55491e2da73465ce4a420afde,delivered,2018-05-26 22:39:00,2018/5/26 22:58,2018/5/29 14:38,2018/6/4 16:37,2018/6/29 0:00
8fb4e4bd46f9802e9179726dd20019a5,b5727de8bdb9c445c8479446733236a5,delivered,2018-05-26 18:16:00,2018/5/26 18:30,2018/5/29 13:49,2018/6/7 23:38,2018/6/20 0:00
05457977f35122e71095989d738e4a37,d4f3bec209aaecedb29d819e45cdb157,delivered,2018-05-26 16:40:00,2018/5/29 3:31,2018/5/30 11:14,2018/6/4 23:18,2018/6/29 0:00
32bde441c2a8669167988229bcafe2d7,25efd76e2a587902b55689c2d3eaea8c,delivered,2018-05-26 09:27:00,2018/5/26 9:50,2018/5/28 13:19,2018/6/16 14:08,2018/7/3 0:00
e9fe4a25c4b2cf9709c06e7e6aef0a8c,fe467cb0cabde021ce57f8c11899dcc7,delivered,2018-05-26 21:38:00,2018/5/26 21:50,2018/5/28 14:15,2018/5/30 16:39,2018/6/20 0:00
1c8b4e99b0bc55e61bda13d020efb26d,337c852ccde94a3fd2b633895534a4c0,delivered,2018-05-26 12:03:00,2018/5/26 12:30,2018/5/28 13:43,2018/5/29 12:18,2018/6/20 0:00
53525abf5054043e8c142bcb76170605,0df33b409cd66353c380327afa092214,delivered,2018-05-26 16:06:00,2018/5/26 16:30,2018/5/28 15:26,2018/6/1 19:48,2018/6/20 0:00
